"#tblds_05_GrainSizeDist_1990s.csv: Masses of sediments within certain size classes from core samples collected with a fixed-piston, wireline core barrel at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1990 and 1998. Sediments were separated into size fractions using sieve methods and hydrometer methods.",,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOS_mBLS,BOS_mBLS,min_diam_mm,max_diam_mm,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,comments
ds_05,x9803,9803.18,7/29/1998,NA,SC,5.87,5.95,1,,xLS010,diam_1mm_p,,0.17,xLSGS2,not previously published ,
ds_05,x9803,9803.19,7/29/1998,NA,SC,5.95,6.02,1,,xLS010,diam_1mm_p,,0.15,xLSGS2,not previously published ,
ds_05,x9803,9803.2,7/29/1998,NA,SC,6.03,6.1,1,,xLS010,diam_1mm_p,,0.45,xLSGS2,not previously published ,
ds_05,x9803,9803.21,7/29/1998,NA,SC,6.1,6.18,1,,xLS010,diam_1mm_p,,0.18,xLSGS2,not previously published ,
ds_05,x9804,9804.01,7/29/1998,NA,SC,4.88,4.95,1,,xLS010,diam_1mm_p,,0.97,xLSGS2,not previously published ,
ds_05,x9804,9804.02,7/29/1998,NA,SC,4.95,5.02,1,,xLS010,diam_1mm_p,,0.15,xLSGS2,not previously published ,
ds_05,x9804,9804.03,7/29/1998,NA,SC,5.03,5.1,1,,xLS010,diam_1mm_p,,0.37,xLSGS2,not previously published ,
ds_05,x9804,9804.04,7/29/1998,NA,SC,5.11,5.18,1,,xLS010,diam_1mm_p,,0.33,xLSGS2,not previously published ,
ds_05,x9804,9804.05,7/29/1998,NA,SC,5.18,5.25,1,,xLS010,diam_1mm_p,,1.74,xLSGS2,not previously published ,
ds_05,x9804,9804.06,7/29/1998,NA,SC,5.26,5.33,1,,xLS010,diam_1mm_p,,2.62,xLSGS2,not previously published ,
ds_05,x9804,9804.07,7/29/1998,NA,SC,5.34,5.41,1,,xLS010,diam_1mm_p,,1.56,xLSGS2,not previously published ,
ds_05,x9804,9804.08,7/29/1998,NA,SC,5.41,5.49,1,,xLS010,diam_1mm_p,,2.7,xLSGS2,not previously published ,
ds_05,x9804,9804.09,7/29/1998,NA,SC,5.49,5.57,1,,xLS010,diam_1mm_p,,0.55,xLSGS2,not previously published ,
