"#tblds_08_SedIronData.csv: Sediment iron concentrations (ferrous, ferric, and total) determined from sediment core samples collected at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1992 and 2010.  Cores were collected by drilling to the top of the desired sample interval with a hollow-stem auger and then driving a wire-line piston core barrel containing a polycarbonate liner through the target sample interval. The bottom 10 centimeters of the core were frozen prior to extraction from the borehole to prevent fluid redistribution.",,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOC_mBLS,TOS_cmTOC,BOS_cmTOC,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_08,x0106,106,7/20/2001,,SC,8.6,163,172,xLO044,Fe_2_umolG,,7.51,xLC002,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,43,52,xLO045,Fe_3_umolG,,6.75,xLC003,not previously published,
ds_08,x0333-0338,337,7/29/2003,,SC,5.49,40,40,xLO044,Fe_2_umolG,,7,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0333-0338,333,7/29/2003,,SC,0,108,108,xLO044,Fe_2_umolG,,2.4,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0333-0338,335,7/29/2003,,SC,2.74,40,40,xLO044,Fe_2_umolG,,4.42,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0333-0338,336,7/29/2003,,SC,4.11,108,108,xLO044,Fe_2_umolG,,4.88,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0106,106,7/20/2001,,SC,8.6,13,22,xLO045,Fe_3_umolG,,13.32,xLC003,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,83,92,xLO045,Fe_3_umolG,,4.16,xLC003,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,133,142,xLO045,Fe_3_umolG,,6.16,xLC003,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,163,172,xLO045,Fe_3_umolG,,12.65,xLC003,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,43,52,xLO047,Fe_T_umolG,,28.76,xLC001,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,13,22,xLO047,Fe_T_umolG,,13.77,xLC001,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,83,92,xLO047,Fe_T_umolG,,21.48,xLC001,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,133,142,xLO047,Fe_T_umolG,,26.99,xLC001,not previously published,
ds_08,x0106,106,7/20/2001,,SC,8.6,163,172,xLO047,Fe_T_umolG,,20.16,xLC001,not previously published,
ds_08,x0320,320,7/23/2003,,SC,5.03,53,53,xLO044,Fe_2_umolG,,9.11,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0320,320,7/23/2003,,SC,5.03,53,53,xLO045,Fe_3_umolG,,5.73,xLC003,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0320,320,7/23/2003,,SC,5.03,53,53,xLO047,Fe_T_umolG,,14.84,xLC001,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0328,328,7/25/2003,,SC,7.62,108,108,xLO044,Fe_2_umolG,,20.6,xLC002,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0328,328,7/25/2003,,SC,7.62,108,108,xLO045,Fe_3_umolG,,6.36,xLC003,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0328,328,7/25/2003,,SC,7.62,108,108,xLO047,Fe_T_umolG,,26.96,xLC001,not previously published,The base of the sample's depth is used as the center of the sample depth to remain consistent with orginal file notes.
ds_08,x0601,601,7/18/2006,,SC,8.53,157,167,xLO044,Fe_2_umolG,,26.35,xLC002,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
ds_08,x0601,601,7/18/2006,,SC,8.53,37,47,xLO044,Fe_2_umolG,,5.05,xLC002,"Amos, R.T., Bekins, B.A., Cozzarelli, I.M., Voytek, M.A., Kirshtein, J.D., Jones, E.J.P., Jones, and Blowes, D.W., 2012, Evidence for iron-mediated anaerobic axidation in a crude oil-contaminated aquifer: Geobiology, v. 10, pp. 506-515.",
