FileName_enttypl,AttributeLabel_attrlabl,AttributeDefinition_attrdef,AttributeDefSource_attrdefs,AttributeDomain
tblds_08_SedIronData.csv,BOS_cmTOC,The distance from the top of the core sample to the bottom of the subcore interval (BOS).,Producer-defined,range domain (rdom); minimum and maximum values of a continuum of valid values
tblds_08_SedIronData.csv,parm_cd,"Five-digit codes used to identify the constituent or property measured.  An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_08_SedIronData.csv,parm_shortname,"Short, descriptive ""database appropriate"" name describing what the result value is representing.",Producer-defined,enumerated domain (edom); members of an established set of values
tblds_08_SedIronData.csv,remark_cd,Code that qualifies a result in the result_va field for the constituent or property measured.,U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_08_SedIronData.csv,result_va,The numeric result value of the constituent or property measured. Or the minimum or maximum reporting value of the constituent or property measured if it was not detected in the sample.,Producer-defined,unrepresentable domain (udom)
tblds_08_SedIronData.csv,meth_cd,"Method code for calculating or measuring the value of a parameter. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",U.S. Geological Survey National Water Information System at http://nwis.waterdata.usgs.gov/usa/nwis/ and producer-defined,enumerated domain (edom); members of an established set of values
tblds_08_SedIronData.csv,pub,"Reference(s) for previously published report(s) in which the data collection methods were presented and the result values were discussed, summarized, and/or displayed in tabular or graphic form.",Producer-defined,unrepresentable domain (udom)
tblds_08_SedIronData.csv,Comments,Further information to help understand and qualify individual data records.,Producer-defined,unrepresentable domain (udom)
tblds_09_InorgWaterData_2009.csv,dataset_id,Alphanumeric string assigned to identify groups of related records that comprise a single data set.,Producer-defined,enumerated domain (edom); members of an established set of values
tblds_09_InorgWaterData_2009.csv,LocalSiteName,"This is the unique name assigned to this x y location at the research site.  It is the primary key to link location information to all other data sets. An ""x"" was prepended to the values in this field to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users should format this field as text and then use a ""Find and Replace"" tool to remove the x's.",Producer-defined,enumerated domain (edom); members of an established set of values
