Core_Sample,Distance_From_421,Elevation,Collection_Date,Extraction_Phase,Extract_Volume,Sediment_Mass,Analyte,Observed_Property,Qualifier_Code,Reported_Value,Units,Method
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Mg,Concentration of magnesium in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Mn,Concentration of manganese in the sediment extract representing surface exchangeable ions,LT,978,ug/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Mo,Concentration of molybdenum in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Na,Concentration of sodium in the sediment extract representing surface exchangeable ions,LT,4.89,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Ni,Concentration of nickel in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Pb,Concentration of lead in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Rb,Concentration of rubidium in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Sb,Concentration of antimony in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Se,Concentration of selenium in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Si,Concentration of silicon in the sediment extract representing surface exchangeable ions,LT,2.45,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Sr,Concentration of strontium in the sediment extract representing surface exchangeable ions,LT,2450,ug/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Tl,Concentration of thallium in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,U,Concentration of uranium in the sediment extract representing surface exchangeable ions,ND,,,
1419-72,100.24,423.37,2014-07-26,Surface exchangeable ions,0.009,0.500,Zn,Concentration of zinc in the sediment extract representing surface exchangeable ions,LT,1960,ug/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Ag,Concentration of silver in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Al,Concentration of aluminum in the sediment extract representing organic bound elements,LT,5020,ug/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,As,Concentration of arsenic in the sediment extract representing organic bound elements,LT,50.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,B,Concentration of boron in the sediment extract representing organic bound elements,,22.2,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Ba,Concentration of barium in the sediment extract representing organic bound elements,i,50.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Be,Concentration of beryllium in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Ca,Concentration of calcium in the sediment extract representing organic bound elements,,6.35,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Cd,Concentration of cadmium in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Ce,Concentration of cerium in the sediment extract representing organic bound elements,i,23.8,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Co,Concentration of cobalt in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Cr,Concentration of chromium in the sediment extract representing organic bound elements,,11.8,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Cu,Concentration of copper in the sediment extract representing organic bound elements,,5.41,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Fe,Concentration of iron in the sediment extract representing organic bound elements,,762,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,K,Concentration of potassium in the sediment extract representing organic bound elements,LT,2.51,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,La,Concentration of lanthanum in the sediment extract representing organic bound elements,i,17.6,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Li,Concentration of lithium in the sediment extract representing organic bound elements,,5.30,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Mg,Concentration of magnesium in the sediment extract representing organic bound elements,LT,2.51,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Mn,Concentration of manganese in the sediment extract representing organic bound elements,,49.2,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Mo,Concentration of molybdenum in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Na,Concentration of sodium in the sediment extract representing organic bound elements,LT,5.02,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Ni,Concentration of nickel in the sediment extract representing organic bound elements,,8.54,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Pb,Concentration of lead in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Rb,Concentration of rubidium in the sediment extract representing organic bound elements,LT,20.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Sb,Concentration of antimony in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Se,Concentration of selenium in the sediment extract representing organic bound elements,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Si,Concentration of silicon in the sediment extract representing organic bound elements,,6.47,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Sr,Concentration of strontium in the sediment extract representing organic bound elements,,20.5,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Tl,Concentration of thallium in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,U,Concentration of uranium in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Organic bound elements,0.015,0.500,Zn,Concentration of zinc in the sediment extract representing organic bound elements,,42.5,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Ag,Concentration of silver in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Al,Concentration of aluminum in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,5030,ug/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,As,Concentration of arsenic in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,40.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,B,Concentration of boron in the sediment extract representing elements bound to reducible oxides and hydroxides,,70.9,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Ba,Concentration of barium in the sediment extract representing elements bound to reducible oxides and hydroxides,i,132,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Be,Concentration of beryllium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Ca,Concentration of calcium in the sediment extract representing elements bound to reducible oxides and hydroxides,,102,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Cd,Concentration of cadmium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Ce,Concentration of cerium in the sediment extract representing elements bound to reducible oxides and hydroxides,i,91.4,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Co,Concentration of cobalt in the sediment extract representing elements bound to reducible oxides and hydroxides,,11.7,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Cr,Concentration of chromium in the sediment extract representing elements bound to reducible oxides and hydroxides,,26.8,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Cu,Concentration of copper in the sediment extract representing elements bound to reducible oxides and hydroxides,,121,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Fe,Concentration of iron in the sediment extract representing elements bound to reducible oxides and hydroxides,,38000,ug/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,K,Concentration of potassium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,2.52,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,La,Concentration of lanthanum in the sediment extract representing elements bound to reducible oxides and hydroxides,i,45.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Li,Concentration of lithium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Mg,Concentration of magnesium in the sediment extract representing elements bound to reducible oxides and hydroxides,,54.9,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Mn,Concentration of manganese in the sediment extract representing elements bound to reducible oxides and hydroxides,,277,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Mo,Concentration of molybdenum in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Na,Concentration of sodium in the sediment extract representing elements bound to reducible oxides and hydroxides,ND,,,
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Ni,Concentration of nickel in the sediment extract representing elements bound to reducible oxides and hydroxides,,25.2,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Pb,Concentration of lead in the sediment extract representing elements bound to reducible oxides and hydroxides,,22.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Rb,Concentration of rubidium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,40.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Sb,Concentration of antimony in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Se,Concentration of selenium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,20.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Si,Concentration of silicon in the sediment extract representing elements bound to reducible oxides and hydroxides,,9.16,mg/L,ICP-OES
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Sr,Concentration of strontium in the sediment extract representing elements bound to reducible oxides and hydroxides,,103,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Tl,Concentration of thallium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,U,Concentration of uranium in the sediment extract representing elements bound to reducible oxides and hydroxides,LT,10.0,ug/L,ICP-MS
1419-72,100.24,423.37,2014-07-26,Elements bound to reducible oxides and hydroxides,0.015,0.500,Zn,Concentration of zinc in the sediment extract representing elements bound to reducible oxides and hydroxides,,258,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Ag,Concentration of silver in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Al,Concentration of aluminum in the sediment extract representing elements bound to carbonates,,441,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,As,Concentration of arsenic in the sediment extract representing elements bound to carbonates,LT,50.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,B,Concentration of boron in the sediment extract representing elements bound to carbonates,LT,20.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Ba,Concentration of barium in the sediment extract representing elements bound to carbonates,i,170,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Be,Concentration of beryllium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Ca,Concentration of calcium in the sediment extract representing elements bound to carbonates,,750,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Cd,Concentration of cadmium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Ce,Concentration of cerium in the sediment extract representing elements bound to carbonates,i,63.8,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Co,Concentration of cobalt in the sediment extract representing elements bound to carbonates,,5.97,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Cr,Concentration of chromium in the sediment extract representing elements bound to carbonates,,10.1,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Cu,Concentration of copper in the sediment extract representing elements bound to carbonates,,34.4,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Fe,Concentration of iron in the sediment extract representing elements bound to carbonates,,1110,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,K,Concentration of potassium in the sediment extract representing elements bound to carbonates,,6.83,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,La,Concentration of lanthanum in the sediment extract representing elements bound to carbonates,i,42.1,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Li,Concentration of lithium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Mg,Concentration of magnesium in the sediment extract representing elements bound to carbonates,,75.6,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Mn,Concentration of manganese in the sediment extract representing elements bound to carbonates,,1040,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Mo,Concentration of molybdenum in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Na,Concentration of sodium in the sediment extract representing elements bound to carbonates,ND,,,
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Ni,Concentration of nickel in the sediment extract representing elements bound to carbonates,,18.3,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Pb,Concentration of lead in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Rb,Concentration of rubidium in the sediment extract representing elements bound to carbonates,LT,20.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Sb,Concentration of antimony in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Se,Concentration of selenium in the sediment extract representing elements bound to carbonates,LT,10.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Si,Concentration of silicon in the sediment extract representing elements bound to carbonates,LT,2.47,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Sr,Concentration of strontium in the sediment extract representing elements bound to carbonates,,509,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Tl,Concentration of thallium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,U,Concentration of uranium in the sediment extract representing elements bound to carbonates,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Elements bound to carbonates,0.009,0.500,Zn,Concentration of zinc in the sediment extract representing elements bound to carbonates,,23.7,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Ag,Concentration of silver in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Al,Concentration of aluminum in the sediment extract representing surface exchangeable ions,LT,4950,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,As,Concentration of arsenic in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,B,Concentration of boron in the sediment extract representing surface exchangeable ions,LT,1980,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Ba,Concentration of barium in the sediment extract representing surface exchangeable ions,LT,1980,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Be,Concentration of beryllium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Ca,Concentration of calcium in the sediment extract representing surface exchangeable ions,,62.3,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Cd,Concentration of cadmium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Ce,Concentration of cerium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Co,Concentration of cobalt in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Cr,Concentration of chromium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Cu,Concentration of copper in the sediment extract representing surface exchangeable ions,LT,1980,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Fe,Concentration of iron in the sediment extract representing surface exchangeable ions,LT,990,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,K,Concentration of potassium in the sediment extract representing surface exchangeable ions,LT,2.48,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,La,Concentration of lanthanum in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Li,Concentration of lithium in the sediment extract representing surface exchangeable ions,LT,495,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Mg,Concentration of magnesium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Mn,Concentration of manganese in the sediment extract representing surface exchangeable ions,LT,990,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Mo,Concentration of molybdenum in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Na,Concentration of sodium in the sediment extract representing surface exchangeable ions,LT,4.95,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Ni,Concentration of nickel in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Pb,Concentration of lead in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Rb,Concentration of rubidium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Sb,Concentration of antimony in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Se,Concentration of selenium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Si,Concentration of silicon in the sediment extract representing surface exchangeable ions,LT,2.48,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Sr,Concentration of strontium in the sediment extract representing surface exchangeable ions,LT,2480,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Tl,Concentration of thallium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,U,Concentration of uranium in the sediment extract representing surface exchangeable ions,ND,,,
1419-76,100.24,423.33,2014-07-26,Surface exchangeable ions,0.009,0.500,Zn,Concentration of zinc in the sediment extract representing surface exchangeable ions,LT,1980,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Ag,Concentration of silver in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Al,Concentration of aluminum in the sediment extract representing organic bound elements,LT,4960,ug/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,As,Concentration of arsenic in the sediment extract representing organic bound elements,LT,50.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,B,Concentration of boron in the sediment extract representing organic bound elements,,24.4,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Ba,Concentration of barium in the sediment extract representing organic bound elements,i,40.4,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Be,Concentration of beryllium in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Ca,Concentration of calcium in the sediment extract representing organic bound elements,,7.47,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Cd,Concentration of cadmium in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Ce,Concentration of cerium in the sediment extract representing organic bound elements,LT i,20.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Co,Concentration of cobalt in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Cr,Concentration of chromium in the sediment extract representing organic bound elements,,12.4,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Cu,Concentration of copper in the sediment extract representing organic bound elements,,5.56,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Fe,Concentration of iron in the sediment extract representing organic bound elements,,611,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,K,Concentration of potassium in the sediment extract representing organic bound elements,LT,2.48,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,La,Concentration of lanthanum in the sediment extract representing organic bound elements,i,16.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Li,Concentration of lithium in the sediment extract representing organic bound elements,,5.11,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Mg,Concentration of magnesium in the sediment extract representing organic bound elements,LT,2.48,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Mn,Concentration of manganese in the sediment extract representing organic bound elements,,52.2,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Mo,Concentration of molybdenum in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Na,Concentration of sodium in the sediment extract representing organic bound elements,LT,4.96,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Ni,Concentration of nickel in the sediment extract representing organic bound elements,,8.39,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Pb,Concentration of lead in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Rb,Concentration of rubidium in the sediment extract representing organic bound elements,LT,20.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Sb,Concentration of antimony in the sediment extract representing organic bound elements,LT,5.00,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Se,Concentration of selenium in the sediment extract representing organic bound elements,LT,10.0,ug/L,ICP-MS
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Si,Concentration of silicon in the sediment extract representing organic bound elements,,6.60,mg/L,ICP-OES
1419-76,100.24,423.33,2014-07-26,Organic bound elements,0.015,0.500,Sr,Concentration of strontium in the sediment extract representing organic bound elements,LT,20.0,ug/L,ICP-MS
