Lab no,Bottle no,Leco TOC,Instrument,Weight,PP TOC,S1,S2,S3,Tmax,Total Carbon,Min Carbon,Carbonate,,,,
BOQ-7,454C,4.99,Rock Eval 2,,,1.34,35.96,0.96,424.0,,,62.60,,,,
BOQ-7,454C,5.01,Rock Eval 2,,,0.79,34.11,0.92,424.0,,,62.60,,,,
BOQ-7,1649A,4.93,Rock Eval 2,,,1.27,35.94,0.84,425.0,,,60.59,,,,
BOQ-7,1649A,4.98,Rock Eval 2,,,1.35,35.82,0.82,424.0,,,60.59,,,,
BOQ-7,1649A,4.96,Rock Eval 2,,,1.42,35.71,0.80,424.0,,,60.59,,,,
BOQ-7,348A,,Rock Eval 6,,5.43,1.20,30.82,0.66,427.0,,,,,,,
BOQ-7,348A,,Rock Eval 6,,5.33,1.46,30.94,0.67,422.0,,,,,,,
BOQ-7,348A,,Rock Eval 6,,5.13,1.39,31.39,0.70,425.0,,,,,,,
BOQ-7,454C,,Rock Eval 6,,5.51,1.54,31.84,0.70,425.0,,,,,,,
BOQ-7,454C,,Rock Eval 6,,5.19,1.44,31.23,0.74,424.0,,,,,,,
BOQ-7,454C,,Rock Eval 6,,5.58,1.38,31.34,0.68,425.0,,,,,,,
BOQ-7,1649A,,Rock Eval 6,,5.48,1.48,31.42,0.73,425.0,,,,,,,
BOQ-7,1649A,,Rock Eval 6,,5.29,1.44,31.35,0.74,425.0,,,,,,,
BOQ-7,1649A,,Rock Eval 6,,6.02,1.25,29.52,0.87,423.0,,,,,,,
BOQ-7,348A,,HAWK,,5.48,1.38,33.24,0.64,424.0,,,,,,,
BOQ-7,348A,,HAWK,,5.50,1.39,33.32,0.63,422.0,,,,,,,
BOQ-7,348A,,HAWK,,5.34,1.44,33.54,0.71,422.0,,,,,,,
BOQ-7,454C,,HAWK,,5.38,1.44,33.57,0.70,422.0,,,,,,,
BOQ-7,454C,,HAWK,,5.40,1.40,33.56,0.98,422.0,,,,,,,
BOQ-7,454C,,HAWK,,5.44,1.42,33.39,0.64,424.0,,,,,,,
BOQ-7,1649A,,HAWK,,5.33,1.45,33.47,0.87,422.0,,,,,,,
BOQ-7,1649A,,HAWK,,5.36,1.48,33.59,0.63,423.0,,,,,,,
BOQ-7,1649A,,HAWK,,5.24,1.42,33.52,0.90,422.0,,,,,,,
BOQ-10,348C,5.04,HAWK,68.8,,1.37,29.43,0.65,423.0,,,,,,,
BOQ-10,348C,5.05,HAWK,70.0,,1.40,29.82,0.66,423.0,,,,,,,
BOQ-10,348C,5.06,HAWK,68.7,,1.34,29.40,0.64,424.0,,,,,,,
BOQ-10,1649B,4.90,HAWK,70.8,,1.25,29.70,0.61,426.0,,,,,,,
BOQ-10,1649B,5.02,HAWK,68.8,,1.06,28.89,0.61,429.0,,,,,,,
BOQ-10,1649B,5.03,HAWK,69.4,,1.25,29.10,0.63,424.0,,,,,,,
BOQ-10,1761D,4.92,HAWK,69.9,,1.17,28.49,0.58,424.0,,,,,,,
BOQ-10,1761D,5.09,HAWK,70.8,,1.28,29.02,0.65,424.0,,,,,,,
BOQ-10,1761D,4.87,HAWK,69.7,,1.30,29.35,0.66,423.0,,,,,,,
BOQ-10,1896B,5.08,HAWK,71.2,,1.29,28.91,0.58,424.0,,,,,,,
BOQ-10,1896B,4.84,HAWK,71.0,,1.22,29.22,0.46,427.0,,,,,,,
BOQ-10,1896B,5.08,HAWK,67.6,,1.31,29.46,0.52,424.0,,,,,,,
BOQ-12,96D,5.07,HAWK,,4.91,1.10,37.20,0.63,425.0,12.06,6.99,,,,,
BOQ-12,96D,5.14,HAWK,,5.10,1.13,39.14,0.53,428.0,11.95,6.81,,,,,
BOQ-12,96D,5.17,HAWK,,4.87,1.07,35.90,0.54,429.0,,,,,,,
BOQ-12,96E,5.04,HAWK,,4.90,1.16,37.38,0.50,426.0,12.10,7.07,,,,,
BOQ-12,96E,5.02,HAWK,,4.93,1.00,35.17,0.59,424.0,12.18,7.16,,,,,
BOQ-12,96E,5.02,HAWK,,4.92,1.07,36.39,0.60,427.0,,,,,,,
BOQ-12,542F,5.29,HAWK,,4.83,1.05,34.98,0.64,425.0,12.10,6.81,,,,,
BOQ-12,542F,5.34,HAWK,,4.99,1.10,37.51,0.64,421.0,12.12,6.78,,,,,
BOQ-12,542F,5.28,HAWK,,5.07,1.10,37.61,0.58,425.0,,,,,,,
BOQ-12,360C,5.15,HAWK,,5.04,1.21,37.97,0.70,429.0,12.04,6.89,,,,,
BOQ-12,360C,5.17,HAWK,,4.97,1.19,36.27,0.71,423.0,12.13,6.96,,,,,
BOQ-12,360C,,HAWK,,5.33,1.11,38.04,0.77,429.0,,,,,,,
BOQ-12,1179B,5.15,HAWK,,5.21,1.29,39.80,0.59,424.0,12.05,6.90,,,,,
BOQ-12,1179B,5.12,HAWK,,5.04,1.27,38.77,0.71,424.0,11.99,6.87,,,,,
BOQ-12,1179B,,HAWK,,5.15,1.28,39.39,0.69,424.0,,,,,,,
BOQ-12,452,5.23,HAWK,,4.73,1.17,34.87,0.66,423.0,12.13,6.90,,,,,
BOQ-12,452,5.20,HAWK,,4.88,1.13,35.91,0.75,424.0,12.19,7.00,,,,,
BOQ-12,452,,HAWK,,4.90,1.18,35.83,0.66,423.0,,,,,,,
