Year,Sample_ID,Collection_Date,Latitude,Longitude,Sample_Type,Collection_Depth,Collection_Mthd,Constituent,Definition,Reported_Value,Reported_QA,Unit,Instrument
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,Mg,Magnesium concentration of the sample,11.0,,mg/L,ICP-OES
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,Mn,Manganese concentration of the sample,166,,ug/L,ICP-OES
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,NH3-N,Total ammonia nitrogen concentration of the sample,0.654,,mg N/L,Automated colorimetry
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,NO3,Nitrate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,NVDOC,Nonvolatile dissolved organic carbon concentration of the sample,10.7,,mg/L,TOC Analyzer
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,Na,Sodium concentration of the sample,2.20,,mg/L,ICP-OES
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,PO4,Phosphate concentration of the sample,0.200,LT,mg/L,IC
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,SO4,Sulfate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,Si,Silicon concentration of the sample,3.24,,mg/L,ICP-OES
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,Sr,Strontium concentration of the sample,78.0,,ug/L,ICP-OES
2017,BEM-2017-01-005,2017-06-22,47.5745,-95.0859,Pore Water,5,Kuwabara,Zn,Zinc concentration of the sample,198,,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Al,Aluminum concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Alkalinity,Alkalinity concentration of the sample measured in milligrams per liter as bicarbonate,219,,mg/L,Titrator
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,B,Boron concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Ba,Barium concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Br,Bromide concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Ca,Calcium concentration of the sample,59.6,,mg/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Cl,Chloride concentration of the sample,0.459,,mg/L,IC
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Cu,Copper concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Fe,Iron concentration of the sample,628,,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,K,Potassium concentration of the sample,0.961,,mg/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Li,Lithium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Mg,Magnesium concentration of the sample,11.8,,mg/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,Mn,Manganese concentration of the sample,208,,ug/L,ICP-OES
2017,BEM-2017-01-010,2017-06-22,47.5745,-95.0859,Pore Water,10,Kuwabara,NH3-N,Total ammonia nitrogen concentration of the sample,0.159,,mg N/L,Automated colorimetry
