"#tblds_10_1996CoreData: Concentrations of organic and inorganic constituents in pore fluid extracted from sediment core samples collected at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA in 1996. Cores were collected by drilling to the top of the desired sample interval with a hollow-stem auger and then driving a wire-line piston core barrel containing a polycarbonate liner through the target sample interval. The bottom 10 centimeters of the core were frozen prior to extraction from the borehole to prevent fluid redistribution.",,,,,,,,,,,,, 
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,medium_cd,TOC_mBLS,SampleLocation_cmTOC,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,Comments
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO020,14DEtBz_mgL,,0.0817,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO056,nButylBz_mgL,,0.1116,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO019,13DMe5EtBz_mgL,,0.0641,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO011,12DEtBz_mgL,,0.0537,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO023,1Me2EtBz_mgL,,0.0844,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO021,14DMe2EtBz_mgL,,0.0722,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO018,13DMe4EtBz_mgL,,0.0034,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO013,12DMe4EtBz_mgL,,0.0743,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO017,13DMe2EtBz_mgL,,0.0669,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO012,12DMe3EtBz_mgL,,0.074,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO008,1245TMeBz_mgL,,0.0927,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO004,1235TMeBz_mgL,,0.0847,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO002,1234TMeBz_mgL,,0.0733,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLO035,BTEX_mgL,,1.0994,xLCA03,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLS438,1Et2MeBz_mgL,,0.0593,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLS439,1Et3MeBz_mgL,,0.0567,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLS440,1Et4MeBz_mgL,,0.0653,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLS441,1MePrBz_mgL,,0.0697,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
ds_10,x9607,9607II,9/11/1996,WI,11.05,0,xLS442,2MePrBz_mgL,,0.0824,xLGC01,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",
