parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
xLS070,Local,diam_0.00098_0.00148mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00098 millimeters and a maximum diameter of 0.00148 millimeters, grams",g,,version 1.0
xLS071,Local,diam_0.00098_0.00195mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00098 millimeters and a maximum diameter of 0.00195 millimeters, grams",g,,version 1.0
xLS072,Local,diam_0.00098_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00098 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS073,Local,diam_0.001_0.00296mm_g,"Soil classification, weight of sample having a minimum diameter of 0.001 millimeters and a maximum diameter of 0.00296 millimeters, grams",g,,version 1.0
xLS074,Local,diam_0.001_0.002mm_g,"Soil classification, weight of sample having a minimum diameter of 0.001 millimeters and a maximum diameter of 0.002 millimeters, grams",g,,version 1.0
xLS075,Local,diam_0.00105_0.00112mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00105 millimeters and a maximum diameter of 0.00112 millimeters, grams",g,,version 1.0
xLS076,Local,diam_0.00105_0.0012mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00105 millimeters and a maximum diameter of 0.0012 millimeters, grams",g,,version 1.0
xLS077,Local,diam_0.00105_0.00138mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00105 millimeters and a maximum diameter of 0.00138 millimeters, grams",g,,version 1.0
xLS078,Local,diam_0.00105_0.00148mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00105 millimeters and a maximum diameter of 0.00148 millimeters, grams",g,,version 1.0
xLS079,Local,diam_0.00105_0.0017mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00105 millimeters and a maximum diameter of 0.0017 millimeters, grams",g,,version 1.0
xLS080,Local,diam_0.00108_0.0016mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00108 millimeters and a maximum diameter of 0.0016 millimeters, grams",g,,version 1.0
