parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
xLS188,Local,diam_0.00364_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00364 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS189,Local,diam_0.00364_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00364 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS190,Local,diam_0.00364_0.0068mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00364 millimeters and a maximum diameter of 0.0068 millimeters, grams",g,,version 1.0
xLS191,Local,diam_0.0039_0.0059mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0039 millimeters and a maximum diameter of 0.0059 millimeters, grams",g,,version 1.0
xLS192,Local,diam_0.00391_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00391 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS193,Local,diam_0.00391_0.00552mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00391 millimeters and a maximum diameter of 0.00552 millimeters, grams",g,,version 1.0
xLS194,Local,diam_0.00391_0.00592mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00391 millimeters and a maximum diameter of 0.00592 millimeters, grams",g,,version 1.0
xLS195,Local,diam_0.00391_0.0068mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00391 millimeters and a maximum diameter of 0.0068 millimeters, grams",g,,version 1.0
xLS196,Local,diam_0.00391_0.00781mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00391 millimeters and a maximum diameter of 0.00781 millimeters, grams",g,,version 1.0
xLS197,Local,diam_0.00391_0.00837mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00391 millimeters and a maximum diameter of 0.00837 millimeters, grams",g,,version 1.0
xLS198,Local,diam_0.00419_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00419 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS199,Local,diam_0.00419_0.00592mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00419 millimeters and a maximum diameter of 0.00592 millimeters, grams",g,,version 1.0
xLS200,Local,diam_0.00419_0.00635mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00419 millimeters and a maximum diameter of 0.00635 millimeters, grams",g,,version 1.0
xLS201,Local,diam_0.00419_0.0068mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00419 millimeters and a maximum diameter of 0.0068 millimeters, grams",g,,version 1.0
xLS202,Local,diam_0.00449_0.00592mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00449 millimeters and a maximum diameter of 0.00592 millimeters, grams",g,,version 1.0
xLS203,Local,diam_0.00449_0.00635mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00449 millimeters and a maximum diameter of 0.00635 millimeters, grams",g,,version 1.0
xLS204,Local,diam_0.00449_0.0068mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00449 millimeters and a maximum diameter of 0.0068 millimeters, grams",g,,version 1.0
xLS205,Local,diam_0.0045_0.0063mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0045 millimeters and a maximum diameter of 0.0063 millimeters, grams",g,,version 1.0
xLS206,Local,diam_0.00461_0.00643mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00461 millimeters and a maximum diameter of 0.00643 millimeters, grams",g,,version 1.0
xLS207,Local,diam_0.00468_0.00576mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00468 millimeters and a maximum diameter of 0.00576 millimeters, grams",g,,version 1.0
xLS208,Local,diam_0.00478_0.00675mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00478 millimeters and a maximum diameter of 0.00675 millimeters, grams",g,,version 1.0
xLS209,Local,diam_0.00481_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00481 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS210,Local,diam_0.00481_0.00635mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00481 millimeters and a maximum diameter of 0.00635 millimeters, grams",g,,version 1.0
xLS211,Local,diam_0.00481_0.0068mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00481 millimeters and a maximum diameter of 0.0068 millimeters, grams",g,,version 1.0
xLS212,Local,diam_0.00488_0.00657mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00488 millimeters and a maximum diameter of 0.00657 millimeters, grams",g,,version 1.0
xLS213,Local,diam_0.00508_0.00635mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00508 millimeters and a maximum diameter of 0.00635 millimeters, grams",g,,version 1.0
xLS214,Local,diam_0.00508_0.00719mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00508 millimeters and a maximum diameter of 0.00719 millimeters, grams",g,,version 1.0
xLS215,Local,diam_0.00515_0.00592mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00515 millimeters and a maximum diameter of 0.00592 millimeters, grams",g,,version 1.0
xLS216,Local,diam_0.00515_0.0068mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00515 millimeters and a maximum diameter of 0.0068 millimeters, grams",g,,version 1.0
xLS217,Local,diam_0.00515_0.00729mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00515 millimeters and a maximum diameter of 0.00729 millimeters, grams",g,,version 1.0
xLS218,Local,diam_0.00552_0.00729mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00552 millimeters and a maximum diameter of 0.00729 millimeters, grams",g,,version 1.0
xLS219,Local,diam_0.00576_0.00969mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00576 millimeters and a maximum diameter of 0.00969 millimeters, grams",g,,version 1.0
xLS220,Local,diam_0.0059_0.008mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0059 millimeters and a maximum diameter of 0.008 millimeters, grams",g,,version 1.0
xLS221,Local,diam_0.00592_0.00781mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00592 millimeters and a maximum diameter of 0.00781 millimeters, grams",g,,version 1.0
xLS222,Local,diam_0.00592_0.00837mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00592 millimeters and a maximum diameter of 0.00837 millimeters, grams",g,,version 1.0
xLS223,Local,diam_0.00592_0.00897mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00592 millimeters and a maximum diameter of 0.00897 millimeters, grams",g,,version 1.0
xLS224,Local,diam_0.0063_0.009mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0063 millimeters and a maximum diameter of 0.009 millimeters, grams",g,,version 1.0
xLS225,Local,diam_0.00635_0.00837mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00635 millimeters and a maximum diameter of 0.00837 millimeters, grams",g,,version 1.0
xLS226,Local,diam_0.00635_0.00891mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00635 millimeters and a maximum diameter of 0.00891 millimeters, grams",g,,version 1.0
xLS227,Local,diam_0.00635_0.00897mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00635 millimeters and a maximum diameter of 0.00897 millimeters, grams",g,,version 1.0
xLS228,Local,diam_0.00635_0.01mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00635 millimeters and a maximum diameter of 0.01 millimeters, grams",g,,version 1.0
xLS229,Local,diam_0.00643_0.0091mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00643 millimeters and a maximum diameter of 0.0091 millimeters, grams",g,,version 1.0
xLS230,Local,diam_0.00657_0.00982mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00657 millimeters and a maximum diameter of 0.00982 millimeters, grams",g,,version 1.0
xLS231,Local,diam_0.00675_0.00936mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00675 millimeters and a maximum diameter of 0.00936 millimeters, grams",g,,version 1.0
xLS232,Local,diam_0.0068_0.00781mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0068 millimeters and a maximum diameter of 0.00781 millimeters, grams",g,,version 1.0
xLS233,Local,diam_0.0068_0.00843mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0068 millimeters and a maximum diameter of 0.00843 millimeters, grams",g,,version 1.0
xLS234,Local,diam_0.0068_0.00897mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0068 millimeters and a maximum diameter of 0.00897 millimeters, grams",g,,version 1.0
xLS235,Local,diam_0.0068_0.00962mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0068 millimeters and a maximum diameter of 0.00962 millimeters, grams",g,,version 1.0
xLS236,Local,diam_0.00719_0.0102mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00719 millimeters and a maximum diameter of 0.0102 millimeters, grams",g,,version 1.0
xLS237,Local,diam_0.00729_0.00897mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00729 millimeters and a maximum diameter of 0.00897 millimeters, grams",g,,version 1.0
xLS238,Local,diam_0.00729_0.00962mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00729 millimeters and a maximum diameter of 0.00962 millimeters, grams",g,,version 1.0
xLS239,Local,diam_0.00729_0.0103mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00729 millimeters and a maximum diameter of 0.0103 millimeters, grams",g,,version 1.0
xLS240,Local,diam_0.00781_0.0103mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00781 millimeters and a maximum diameter of 0.0103 millimeters, grams",g,,version 1.0
xLS241,Local,diam_0.00781_0.0118mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00781 millimeters and a maximum diameter of 0.0118 millimeters, grams",g,,version 1.0
xLS242,Local,diam_0.00781_0.0127mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00781 millimeters and a maximum diameter of 0.0127 millimeters, grams",g,,version 1.0
xLS243,Local,diam_0.00781_0.0156mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00781 millimeters and a maximum diameter of 0.0156 millimeters, grams",g,,version 1.0
xLS244,Local,diam_0.008_0.012mm_g,"Soil classification, weight of sample having a minimum diameter of 0.008 millimeters and a maximum diameter of 0.012 millimeters, grams",g,,version 1.0
xLS245,Local,diam_0.00837_0.0118mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00837 millimeters and a maximum diameter of 0.0118 millimeters, grams",g,,version 1.0
xLS246,Local,diam_0.00837_0.0127mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00837 millimeters and a maximum diameter of 0.0127 millimeters, grams",g,,version 1.0
xLS247,Local,diam_0.00837_0.0136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00837 millimeters and a maximum diameter of 0.0136 millimeters, grams",g,,version 1.0
xLS248,Local,diam_0.00843_0.0104mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00843 millimeters and a maximum diameter of 0.0104 millimeters, grams",g,,version 1.0
xLS249,Local,diam_0.00891_0.0125mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00891 millimeters and a maximum diameter of 0.0125 millimeters, grams",g,,version 1.0
xLS250,Local,diam_0.00897_0.0118mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00897 millimeters and a maximum diameter of 0.0118 millimeters, grams",g,,version 1.0
xLS251,Local,diam_0.00897_0.0123mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00897 millimeters and a maximum diameter of 0.0123 millimeters, grams",g,,version 1.0
xLS252,Local,diam_0.00897_0.0127mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00897 millimeters and a maximum diameter of 0.0127 millimeters, grams",g,,version 1.0
xLS253,Local,diam_0.00897_0.0136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00897 millimeters and a maximum diameter of 0.0136 millimeters, grams",g,,version 1.0
xLS254,Local,diam_0.009_0.012mm_g,"Soil classification, weight of sample having a minimum diameter of 0.009 millimeters and a maximum diameter of 0.012 millimeters, grams",g,,version 1.0
xLS255,Local,diam_0.0091_0.0128mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0091 millimeters and a maximum diameter of 0.0128 millimeters, grams",g,,version 1.0
xLS256,Local,diam_0.00936_0.0134mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00936 millimeters and a maximum diameter of 0.0134 millimeters, grams",g,,version 1.0
xLS257,Local,diam_0.00962_0.011mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00962 millimeters and a maximum diameter of 0.011 millimeters, grams",g,,version 1.0
xLS258,Local,diam_0.00962_0.0127mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00962 millimeters and a maximum diameter of 0.0127 millimeters, grams",g,,version 1.0
xLS259,Local,diam_0.00962_0.0136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00962 millimeters and a maximum diameter of 0.0136 millimeters, grams",g,,version 1.0
xLS260,Local,diam_0.00962_0.0146mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00962 millimeters and a maximum diameter of 0.0146 millimeters, grams",g,,version 1.0
xLS261,Local,diam_0.00969_0.0132mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00969 millimeters and a maximum diameter of 0.0132 millimeters, grams",g,,version 1.0
xLS262,Local,diam_0.00982_0.0138mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00982 millimeters and a maximum diameter of 0.0138 millimeters, grams",g,,version 1.0
xLS263,Local,diam_0.01_0.0136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.01 millimeters and a maximum diameter of 0.0136 millimeters, grams",g,,version 1.0
xLS264,Local,diam_0.0101_0.0139mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0101 millimeters and a maximum diameter of 0.0139 millimeters, grams",g,,version 1.0
xLS265,Local,diam_0.0102_0.0139mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0102 millimeters and a maximum diameter of 0.0139 millimeters, grams",g,,version 1.0
xLS266,Local,diam_0.0103_0.0136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0103 millimeters and a maximum diameter of 0.0136 millimeters, grams",g,,version 1.0
xLS267,Local,diam_0.0103_0.0146mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0103 millimeters and a maximum diameter of 0.0146 millimeters, grams",g,,version 1.0
xLS268,Local,diam_0.0104_0.0181mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0104 millimeters and a maximum diameter of 0.0181 millimeters, grams",g,,version 1.0
xLS269,Local,diam_0.011_0.0179mm_g,"Soil classification, weight of sample having a minimum diameter of 0.011 millimeters and a maximum diameter of 0.0179 millimeters, grams",g,,version 1.0
xLS270,Local,diam_0.011_0.0192mm_g,"Soil classification, weight of sample having a minimum diameter of 0.011 millimeters and a maximum diameter of 0.0192 millimeters, grams",g,,version 1.0
xLS271,Local,diam_0.0118_0.0156mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0118 millimeters and a maximum diameter of 0.0156 millimeters, grams",g,,version 1.0
xLS272,Local,diam_0.0118_0.0167mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0118 millimeters and a maximum diameter of 0.0167 millimeters, grams",g,,version 1.0
xLS273,Local,diam_0.0118_0.0179mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0118 millimeters and a maximum diameter of 0.0179 millimeters, grams",g,,version 1.0
xLS274,Local,diam_0.012_0.016mm_g,"Soil classification, weight of sample having a minimum diameter of 0.012 millimeters and a maximum diameter of 0.016 millimeters, grams",g,,version 1.0
xLS275,Local,diam_0.012_0.017mm_g,"Soil classification, weight of sample having a minimum diameter of 0.012 millimeters and a maximum diameter of 0.017 millimeters, grams",g,,version 1.0
xLS276,Local,diam_0.0123_0.0173mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0123 millimeters and a maximum diameter of 0.0173 millimeters, grams",g,,version 1.0
xLS277,Local,diam_0.0125_0.0156mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0125 millimeters and a maximum diameter of 0.0156 millimeters, grams",g,,version 1.0
xLS278,Local,diam_0.0125_0.0167mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0125 millimeters and a maximum diameter of 0.0167 millimeters, grams",g,,version 1.0
xLS279,Local,diam_0.0127_0.0136mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0127 millimeters and a maximum diameter of 0.0136 millimeters, grams",g,,version 1.0
xLS280,Local,diam_0.0127_0.0156mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0127 millimeters and a maximum diameter of 0.0156 millimeters, grams",g,,version 1.0
xLS281,Local,diam_0.0127_0.0167mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0127 millimeters and a maximum diameter of 0.0167 millimeters, grams",g,,version 1.0
xLS282,Local,diam_0.0127_0.0179mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0127 millimeters and a maximum diameter of 0.0179 millimeters, grams",g,,version 1.0
xLS283,Local,diam_0.0127_0.0192mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0127 millimeters and a maximum diameter of 0.0192 millimeters, grams",g,,version 1.0
xLS284,Local,diam_0.0127_0.0254mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0127 millimeters and a maximum diameter of 0.0254 millimeters, grams",g,,version 1.0
xLS285,Local,diam_0.0128_0.0175mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0128 millimeters and a maximum diameter of 0.0175 millimeters, grams",g,,version 1.0
xLS286,Local,diam_0.0132_0.0186mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0132 millimeters and a maximum diameter of 0.0186 millimeters, grams",g,,version 1.0
xLS287,Local,diam_0.0134_0.019mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0134 millimeters and a maximum diameter of 0.019 millimeters, grams",g,,version 1.0
xLS288,Local,diam_0.0136_0.0156mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0136 millimeters and a maximum diameter of 0.0156 millimeters, grams",g,,version 1.0
xLS289,Local,diam_0.0136_0.0167mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0136 millimeters and a maximum diameter of 0.0167 millimeters, grams",g,,version 1.0
xLS290,Local,diam_0.0136_0.0179mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0136 millimeters and a maximum diameter of 0.0179 millimeters, grams",g,,version 1.0
xLS291,Local,diam_0.0136_0.0192mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0136 millimeters and a maximum diameter of 0.0192 millimeters, grams",g,,version 1.0
xLS292,Local,diam_0.0136_0.019mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0136 millimeters and a maximum diameter of 0.019 millimeters, grams",g,,version 1.0
xLS293,Local,diam_0.0136_0.0206mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0136 millimeters and a maximum diameter of 0.0206 millimeters, grams",g,,version 1.0
xLS294,Local,diam_0.0138_0.0195mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0138 millimeters and a maximum diameter of 0.0195 millimeters, grams",g,,version 1.0
xLS295,Local,diam_0.0139_0.0194mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0139 millimeters and a maximum diameter of 0.0194 millimeters, grams",g,,version 1.0
xLS296,Local,diam_0.0139_0.0196mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0139 millimeters and a maximum diameter of 0.0196 millimeters, grams",g,,version 1.0
xLS297,Local,diam_0.0146_0.0192mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0146 millimeters and a maximum diameter of 0.0192 millimeters, grams",g,,version 1.0
xLS298,Local,diam_0.0156_0.0192mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.0192 millimeters, grams",g,,version 1.0
xLS299,Local,diam_0.0156_0.0206mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.0206 millimeters, grams",g,,version 1.0
xLS300,Local,diam_0.0156_0.0221mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.0221 millimeters, grams",g,,version 1.0
xLS301,Local,diam_0.0156_0.0232mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.0232 millimeters, grams",g,,version 1.0
xLS302,Local,diam_0.0156_0.0237mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.0237 millimeters, grams",g,,version 1.0
xLS303,Local,diam_0.0156_0.023mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.023 millimeters, grams",g,,version 1.0
xLS304,Local,diam_0.0156_0.0254mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0156 millimeters and a maximum diameter of 0.0254 millimeters, grams",g,,version 1.0
xLS305,Local,diam_0.016_0.024mm_g,"Soil classification, weight of sample having a minimum diameter of 0.016 millimeters and a maximum diameter of 0.024 millimeters, grams",g,,version 1.0
xLS306,Local,diam_0.0167_0.0179mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0167 millimeters and a maximum diameter of 0.0179 millimeters, grams",g,,version 1.0
xLS307,Local,diam_0.0167_0.0221mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0167 millimeters and a maximum diameter of 0.0221 millimeters, grams",g,,version 1.0
xLS308,Local,diam_0.0167_0.0232mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0167 millimeters and a maximum diameter of 0.0232 millimeters, grams",g,,version 1.0
xLS309,Local,diam_0.0167_0.0237mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0167 millimeters and a maximum diameter of 0.0237 millimeters, grams",g,,version 1.0
xLS310,Local,diam_0.017_0.022mm_g,"Soil classification, weight of sample having a minimum diameter of 0.017 millimeters and a maximum diameter of 0.022 millimeters, grams",g,,version 1.0
xLS311,Local,diam_0.0173_0.0237mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0173 millimeters and a maximum diameter of 0.0237 millimeters, grams",g,,version 1.0
xLS312,Local,diam_0.0175_0.0245mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0175 millimeters and a maximum diameter of 0.0245 millimeters, grams",g,,version 1.0
xLS313,Local,diam_0.0179_0.0192mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0179 millimeters and a maximum diameter of 0.0192 millimeters, grams",g,,version 1.0
xLS314,Local,diam_0.0179_0.0237mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0179 millimeters and a maximum diameter of 0.0237 millimeters, grams",g,,version 1.0
xLS315,Local,diam_0.0179_0.0254mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0179 millimeters and a maximum diameter of 0.0254 millimeters, grams",g,,version 1.0
xLS316,Local,diam_0.0179_0.0272mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0179 millimeters and a maximum diameter of 0.0272 millimeters, grams",g,,version 1.0
xLS317,Local,diam_0.0179_0.0274mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0179 millimeters and a maximum diameter of 0.0274 millimeters, grams",g,,version 1.0
xLS318,Local,diam_0.0179_0.0335mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0179 millimeters and a maximum diameter of 0.0335 millimeters, grams",g,,version 1.0
xLS319,Local,diam_0.0181_0.0249mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0181 millimeters and a maximum diameter of 0.0249 millimeters, grams",g,,version 1.0
xLS320,Local,diam_0.0186_0.0263mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0186 millimeters and a maximum diameter of 0.0263 millimeters, grams",g,,version 1.0
xLS321,Local,diam_0.019_0.0265mm_g,"Soil classification, weight of sample having a minimum diameter of 0.019 millimeters and a maximum diameter of 0.0265 millimeters, grams",g,,version 1.0
xLS322,Local,diam_0.019_0.0268mm_g,"Soil classification, weight of sample having a minimum diameter of 0.019 millimeters and a maximum diameter of 0.0268 millimeters, grams",g,,version 1.0
xLS323,Local,diam_0.0192_0.0237mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0192 millimeters and a maximum diameter of 0.0237 millimeters, grams",g,,version 1.0
xLS324,Local,diam_0.0192_0.0254mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0192 millimeters and a maximum diameter of 0.0254 millimeters, grams",g,,version 1.0
xLS325,Local,diam_0.0192_0.0263mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0192 millimeters and a maximum diameter of 0.0263 millimeters, grams",g,,version 1.0
xLS326,Local,diam_0.0192_0.0272mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0192 millimeters and a maximum diameter of 0.0272 millimeters, grams",g,,version 1.0
xLS327,Local,diam_0.0194_0.0272mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0194 millimeters and a maximum diameter of 0.0272 millimeters, grams",g,,version 1.0
xLS328,Local,diam_0.0195_0.0274mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0195 millimeters and a maximum diameter of 0.0274 millimeters, grams",g,,version 1.0
xLS329,Local,diam_0.0196_0.0276mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0196 millimeters and a maximum diameter of 0.0276 millimeters, grams",g,,version 1.0
xLS330,Local,diam_0.0206_0.0272mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0206 millimeters and a maximum diameter of 0.0272 millimeters, grams",g,,version 1.0
xLS331,Local,diam_0.022_0.03mm_g,"Soil classification, weight of sample having a minimum diameter of 0.022 millimeters and a maximum diameter of 0.03 millimeters, grams",g,,version 1.0
xLS332,Local,diam_0.0221_0.0292mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0221 millimeters and a maximum diameter of 0.0292 millimeters, grams",g,,version 1.0
xLS333,Local,diam_0.0221_0.0313mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0221 millimeters and a maximum diameter of 0.0313 millimeters, grams",g,,version 1.0
xLS334,Local,diam_0.023_0.0313mm_g,"Soil classification, weight of sample having a minimum diameter of 0.023 millimeters and a maximum diameter of 0.0313 millimeters, grams",g,,version 1.0
xLS335,Local,diam_0.0232_0.0313mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0232 millimeters and a maximum diameter of 0.0313 millimeters, grams",g,,version 1.0
xLS336,Local,diam_0.0237_0.0254mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0237 millimeters and a maximum diameter of 0.0254 millimeters, grams",g,,version 1.0
xLS337,Local,diam_0.0237_0.0313mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0237 millimeters and a maximum diameter of 0.0313 millimeters, grams",g,,version 1.0
xLS338,Local,diam_0.0237_0.0335mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0237 millimeters and a maximum diameter of 0.0335 millimeters, grams",g,,version 1.0
xLS339,Local,diam_0.0237_0.0359mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0237 millimeters and a maximum diameter of 0.0359 millimeters, grams",g,,version 1.0
xLS340,Local,diam_0.024_0.03mm_g,"Soil classification, weight of sample having a minimum diameter of 0.024 millimeters and a maximum diameter of 0.03 millimeters, grams",g,,version 1.0
xLS341,Local,diam_0.0245_0.0344mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0245 millimeters and a maximum diameter of 0.0344 millimeters, grams",g,,version 1.0
xLS342,Local,diam_0.0249_0.0349mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0249 millimeters and a maximum diameter of 0.0349 millimeters, grams",g,,version 1.0
xLS343,Local,diam_0.0254_0.0272mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0254 millimeters and a maximum diameter of 0.0272 millimeters, grams",g,,version 1.0
xLS344,Local,diam_0.0254_0.0335mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0254 millimeters and a maximum diameter of 0.0335 millimeters, grams",g,,version 1.0
xLS345,Local,diam_0.0254_0.0359mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0254 millimeters and a maximum diameter of 0.0359 millimeters, grams",g,,version 1.0
xLS346,Local,diam_0.0254_0.0769mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0254 millimeters and a maximum diameter of 0.0769 millimeters, grams",g,,version 1.0
