meth_cd,meth_cd_ref,meth_cd_descript,meth_cd_pub,version_when_added
xLC001,LOCAL,"Total Iron in solids extracted with 0.5 M hydrochloric acid, reduced using hydroxylamine/HCl, and quantified by ferrozine colorimetry","Gibbs, M.M., 1979. A simple method for the rapid determination of iron in natural waters. Water Research 13, 295–297; Tuccillo, M.E., Cozzarelli, I.M., Herman, J.S., 1999. Iron reduction in the sediments of a hydrocarbon-contaminated aquifer. Applied Geochemistry vol. 14 (no. 5), 71–83.",version 1.0
xLCA01,LOCAL,Volatile organic compounds analyzed using solid phase microextraction-gas chromatography/mass spectrometry and results are calculated using deutrated-internal standards.,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",version 1.0
xLCA02,LOCAL,Volatile organic compounds analyzed using solid phase microextraction-gas chromatography/mass spectrometry and semi-quantitative results are calculated using external standards normalized to an internal standard.,"Baedecker, M.J., Eaganhouse, R.P., Bekins, B.A., and Delin, G.N., 2011, Loss of volatile hydrocarbons from LNAPL oil source: Journal of Contaminant Hydrology, v. 126, pp. 140-152.",version 1.0
xLCA03,LOCAL,"Sum of benzene, toluene, ethylbenzene, m-p-xylene, o-xylene-D10, and o-xylene","Eganhouse, R.P., Dorsey, T.F., Phinney, C.S., Westcott, A.M., 1993. Determination of C6 _C10 aromatic hydrocarbons in water by purge and trap capillary gas chromatography: Journal of Chromatography 628, 81 _ 92.",version 1.0
xLCA04,LOCAL,Eh calculated for redox couples using activities of dissolved species and the Nernst equation,"Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586.",version 1.0
xLCA05,LOCAL,Sediment or interstitial fluid property calculated from field measurements.  ,"Hess, K.M., Herkelrath, W.N., and Essaid, H.I., 1992, Determination of subsurface fluid contents at a crude-oil spill site: Journal of Contaminant Hydrology, v. 10, pp. 75-96. ",version 1.0
xLCA06,LOCAL,Sum of all alkylbenzenes,"Bekins, B.A., I.M. Cozzarelli, E.M. Godsy, E. Warren, H.I. Essaid, and M.E. Tuccillo, 2001, Progression of natural attenuation processes at a crude oil spill site II. Controls on spatial distribution of microbial populations, J. Contam. Hydrol., 53:387-406.; Cozzarelli, I.M., Bekins, B.A., Baedecker, M.J., Aiken, G.R., Eaganhouse, R.P., and Tuccillo, m.E., 2001, Progression of natural attenuation processes at a crude-oil spill site--I. Geochemical evolution of the plume: Journal of Contaminant Hydrology, v. 53, pp. 369-385.",version 1.0
xLCAID,LOCAL,Total dissolved organic carbon via O I Analytical carbon analyzer by nitrogen purge followed by conversion to CO2 by both combustion and oxidation with sodium persulfate and then measured using an infared detector,"Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586.",version 1.0
xLCID1,LOCAL,Volatile dissolved organic carbon via O I Analytical carbon analyzer by nitrogen purge followed by combustion to CO2 and then measured using an infared detector,"Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586.",version 1.0
xLCID2,LOCAL,Nonvolatile dissolved organic carbon via O I Analytical carbon analyzer by nitrogen purge followed by conversion to CO2 by oxidation with sodium perdulfate and then measured using an infared detector,"Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586.",version 1.0
xLCOL1,LOCAL,"Sulfides by modified colorimetric methylene blue method, concentrations determined spectrophotometrically","Baedecker, M.J., and Cozzarelli, I.M., 1992, The determination and fate of unstable constituents of contaminated groundwater, in Lesage, S., and Jackson, R.E., eds, Groundwater contamination and analysis at hazardous waste sites: New York, Marcel Dekker, Inc., p. 425-462.",version 1.0
xLDPES,LOCAL,Trace and major elements by direct-current plasma-emission spectroscopy,"Bennett, P.C., Siegel, D.E., Baedecker, M.J., and Hult, M.F., 1993, Crude oil in a shallow sand and gravel aquifer--I. Hydrogeology and inorganic geochemistry: Applied Geochemistry, v. 8, pp. 529-549.",version 1.0
xLGC01,LOCAL,purge-and-trap capillary gas chromatography with flame ionization and mass spectrometric detection,"Eganhouse, R.P., Dorsey, T.F., Phinney, C.S., Westcott, A.M., 1993. Determination of C6 _C10 aromatic hydrocarbons in water by purge and trap capillary gas chromatography: Journal of Chromatography 628, 81 _ 92.; Eganhouse, R.P., Dorsey, T.F., Phinney, C.S., Westcott, A.M., 1996. Processes affecting the fate of monoaromatic hydrocarbons in an aquifercontaminated by crude oil: Environmental Science & Technology 30, 3304_3312.",version 1.0
xLGC02,LOCAL,"Carbon-13 isotope by gas chromatography followed by cumbustion and mass spectrometry, results reported relative to Peedee belemnite","Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586.",version 1.0
xLIRMS,LOCAL,Stable isotopes by dual-inlet isotope-ratio mass spectrometer,"Baedecker, M.J., Cozzarelli, I.M., Eaganhouse, R.P., Siegel, D.I., and Bennett, P.C., 1993, Crude oil in a shallow sand and gravel aquifer--III. Biogeochemical reactions and mass balance modeling in anoxic groundwater: Applied Geochemistry, v. 8, pp. 569-586.",version 1.0
