LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x1217E,Bemidji,ww,groundwater observation well,x473429095051006,1217E     147N35W02DCBB  06,343106.91,5271121.65,1.0,326.57,426.141,0.335,425.806,420.155,420.067,0.088,420.111,5.813,5.813,12.2,2.0,Mesh screen,0.028,Stainless Steel,Stainless Steel,20160726.0,This well was installed by B. Mason several years after initial 1217 well nest was established.,USGS MN Water Science Center,B. Mason,Between well 925 nest and well 501 nest. Installation: stainless steel Solinst drive point screen with stainless to land surface.,Active,,
x1602G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052912,1602G-01  Bemidji Toxics Research Site,342693.48,5271007.85,1.0,-97.51,431.124,0.0,431.124,425.641,425.61,0.031,425.626,5.514,5.761,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160802.0,,USGS MN Water Science Center,B. Mason; J.W. Lund,Installed this vapor well next to WT1601 (water tube) and nearby well: 606,Active,,
x707G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473424095052906,707G-01   Bemidji Toxics Research Site,342714.17,5271007.89,1.0,-78.58,430.81,0.0,430.81,425.327,425.296,0.031,425.312,5.514,5.639,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20160809.0,,USGS MN Water Science Center,B. Mason; J.W. Lund,Installed this vapor well next to current 707 well nest (707AR & 707DR),Active,,
xCL-MW3,Cass Lake,wo,subsurface oil- and groundwater observation well,,,376368.69,5248417.18,0.0,,,,,,,,,,,,,,,,,,Installation date unknown,Enbridge Energy,unknown,,Active,,
x17.lk.sc1,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),,,343136.15,5271114.97,0.0,,,,,,,,,,,,,,,,,,,USGS MN Water Science Center,Not applicable,,Removed,temporary sampling location,
x1802,Bemidji,ww,groundwater observation well,x473423095052902,1802      Bemidji Toxics Research Site  0000786140,342702.18,5270941.2,0.0,,430.362,0.899,429.463,424.644,423.33,1.314,423.987,6.297,6.462,21.0,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20180625.0,,USGS MN Water Science Center,B. Mason; J.W. Lund; E. Smith,Well installed downhill from well 956 and near 1802 lysimeters,Active,,
xWL02,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473412095050801,"WL02, WETLAND, NE SIDE, SE OF PINEWOOD, MN",343133.39,5270627.9,0.0,,423.812,0.0,423.812,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL02"" for Bemidji site. Small wetland located 265 ft. SW of ATV/snowmobile trail. Wetland is the most SE in a transect of 2 small wetlands in in a NW-SE configuration.",Active,,
xWL03,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473416095051301,"WL03, WETLAND, NE SIDE, SE OF PINEWOOD, MN",343038.69,5270718.15,0.0,,423.794,0.0,423.794,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL02"" for Bemidji site. Small wetland located 315 ft. SW of ATV/snowmobile trail. Wetland is the most NW in a transect of 2 small wetlands in in a NW-SE configuration.",Active,,
xWL04,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473431095052801,"WL04, WETLAND, E. SIDE, SE OF PINEWOOD, MN",342743.88,5271211.11,0.0,,424.504,0.0,424.504,,,,,,,,,,,,,20190627.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL04"" for Bemidji site. Small wetland located 80 ft. NE of ATV/snowmobile trail. Wetland is located 60 ft. west of well 307.",Active,,
xGrant Creek 01,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473356095043701,"GRANT CREEK, AT ATV TRAIL, SE OF PINEWOOD, MN",343765.96,5270091.98,0.0,,423.724,0.0,423.724,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Not applicable,"Grant Creek near upstream end of culvert that goes under ATV/snowmobile trail. Horizontal coordinates were surveyed to small flooded area, 115 ft. SE of upstream end of culvert, 60 ft. SW of ATV trail.",Active,,
xWL01-2,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473419095052504,"WL01-2, WETLAND, NE SIDE, SE OF PINEWOOD, MN",342786.88,5270841.07,0.0,,425.196,0.0,425.196,,,,,,,,,,,,,20190627.0,,USGS MN Water Science Center,Not applicable,"Wetland site ""WL01-2"" for Bemidji site. Small wetland located 500 ft. SW of ATV/snowmobile trail. Wetland is located next to well 313. This site is the wetland water's edge at the end of the walking path to the wetland. NOT the staff gage location.",Active,,
xLK01,Bemidji,swe,"surface-water elevation site, used for water table interpolation only",x473408095045601,"UNNAMED LAKE, S SIDE, AT TRAIL, SE OF PINEWOOD, MN",343399.54,5270496.89,0.0,,423.431,0.0,423.431,,,,,,,,,,,,,20190628.0,,USGS MN Water Science Center,Unknown,"Unnamed Lake site ""LK01"" for Bemidji site. Unnamed Lake located 60 ft. NE of ATV/snowmobile trail, near the lake staff gage. This site is the Unnamed Lake water's edge at the end of path to the staff gage. NOT the staff gage location.",Active,,
x1907A,Bemidji,ww,groundwater observation well,x473426095051001,1907A     Bemidji Toxics Research Site,343104.16,5271054.48,0.0,,425.644,0.808,424.836,421.48,421.395,0.085,421.438,3.517,3.517,8.6,1.9,Mesh screen,0.028,Stainless Steel,Stainless Steel,20190622.0,,USGS MN Water Science Center,"B. Bekins, K. Waldman",Located near Unnamed Lake shoreline,Active,,
x1907B,Bemidji,ww,groundwater observation well,x473426095051002,1907B     Bemidji Toxics Research Site,343104.59,5271052.62,0.0,,425.742,0.738,425.004,421.057,420.971,0.086,421.014,4.109,4.109,8.6,1.9,Mesh screen,0.028,Stainless Steel,Stainless Steel,20190625.0,,USGS MN Water Science Center,"B. Bekins, K. Waldman",Located near Unnamed Lake shoreline,Active,,
x1907C,Bemidji,ww,groundwater observation well,x473426095051003,1907C     Bemidji Toxics Research Site,343104.0,5271053.66,0.0,,425.86,0.966,424.894,419.731,419.645,0.086,419.688,5.325,5.325,8.6,1.9,Mesh screen,0.028,Stainless Steel,Stainless Steel,20190624.0,,USGS MN Water Science Center,"B. Bekins, K. Waldman",Located near Unnamed Lake shoreline,Active,,
x1302G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052706,1302G-02  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,425.488,425.458,0.03,425.473,4.715,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052707,1302G-03  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,425.787,425.756,0.031,425.772,4.417,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052708,1302G-04  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,426.089,426.058,0.031,426.074,4.115,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052709,1302G-05  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,426.488,426.457,0.031,426.472,3.716,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052710,1302G-06  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,426.79,426.759,0.031,426.774,3.414,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052711,1302G-07  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,427.088,427.058,0.03,427.073,3.115,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-08,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052712,1302G-08  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,427.488,427.457,0.031,427.472,2.716,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-09,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052713,1302G-09  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,427.789,427.759,0.03,427.774,2.414,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1302G-10,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052714,1302G-10  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,430.173,0.0,430.173,428.189,428.158,0.031,428.174,2.015,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,,J. Greene; A. Berg,Located near well 1202,Active,,
x1402G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052422,1402G-02  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,426.33,426.299,0.031,426.314,6.517,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052423,1402G-03  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,426.83,426.799,0.031,426.814,6.017,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052424,1402G-04  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,427.333,427.302,0.031,427.318,5.514,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052425,1402G-05  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,427.833,427.802,0.031,427.818,5.014,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052426,1402G-06  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,428.332,428.302,0.03,428.317,4.514,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052427,1402G-07  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,428.832,428.802,0.03,428.817,4.014,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-08,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052428,1402G-08  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,429.332,429.302,0.03,429.317,3.514,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x0501,Bemidji,wo,subsurface oil- and groundwater observation well,x473425095052603,0501      147N35W02CDDB  01,342781.18,5271042.47,1.0,-3.31,431.143,0.765,430.378,420.929,414.833,6.096,417.881,,,,10.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050601.0,,"LTP Enterprises, Inc. Well Drilling",Unknown,North pool transect,Active,,
x0502,Bemidji,ww,groundwater observation well,x473426095052604,0502      147N35W02CDAC  01,342769.82,5271052.25,0.0,,431.737,0.75,430.987,417.451,416.143,1.308,416.797,15.008,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050614.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0503,Bemidji,ww,groundwater observation well,x473426095052605,0503      147N35W02CDAC  01,342773.62,5271049.28,0.0,,431.371,0.689,430.682,416.649,415.341,1.308,415.995,15.505,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050614.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0504,Bemidji,ww,groundwater observation well,x473426095052606,0504      147N35W02CDAC  01,342777.46,5271045.9,0.0,,431.429,0.747,430.682,416.777,415.469,1.308,416.123,15.377,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050615.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0505,Bemidji,ww,groundwater observation well,x473425095052606,0505      147N35W02CDDB  01,342777.86,5271038.89,1.0,-7.79,430.606,0.533,430.073,418.512,417.204,1.308,417.858,13.033,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050615.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0506,Bemidji,ww,groundwater observation well,x473425095052607,0506      147N35W02CDDB  01,342774.27,5271035.18,1.0,-12.58,431.046,0.668,430.378,418.908,417.601,1.307,418.254,12.945,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050615.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0507,Bemidji,ww,groundwater observation well,x473425095052608,0507      147N35W02CDDB  01,342770.89,5271031.6,1.0,-17.12,431.076,0.698,430.378,419.049,417.741,1.308,418.395,12.805,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050615.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0508,Bemidji,ww,groundwater observation well,x473425095052609,0508      147N35W02CDDB  01,342784.97,5271039.31,1.0,-1.12,431.122,0.744,430.378,421.106,419.798,1.308,420.452,10.744,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050616.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0509,Bemidji,ww,groundwater observation well,x473425095052502,0509      147N35W02CDDB  01,342788.17,5271035.47,1.0,-0.25,431.094,0.716,430.378,420.673,419.811,0.862,420.242,10.732,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050617.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x0510,Bemidji,ww,groundwater observation well,x473425095052503,0510      147N35W02CDDB  01,342792.1,5271032.65,0.0,,431.41,0.728,430.682,421.099,420.233,0.866,420.666,10.613,,18.4,5.2,"Perforated, porous, or slotted casing",0.025,PVC Threaded,PVC Threaded,20050616.0,,USGS MN Water Science Center,W. Larson; J. Greene,North pool transect,Active,,
x1402G-09,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052429,1402G-09  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,430.332,430.301,0.031,430.316,2.515,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-10,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052430,1402G-10  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,431.332,431.301,0.031,431.316,1.515,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-11,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052446,1402G-11  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,432.331,432.301,0.03,432.316,0.515,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1402G-00,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052447,1402G-00  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,432.816,0.0,432.816,,,,,0.0,10.058,21.0,,,,,,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x301G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052615,301G-02   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,424.635,424.604,0.031,424.62,6.017,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x301G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052616,301G-03   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,425.638,425.607,0.031,425.622,5.014,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x301G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052617,301G-04   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,426.637,426.607,0.03,426.622,4.014,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x301G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052618,301G-05   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,427.637,427.607,0.03,427.622,3.014,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x301G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052619,301G-06   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,428.637,428.606,0.031,428.622,2.015,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x301G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052620,301G-07   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,429.636,429.606,0.03,429.621,1.015,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x301G-08,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052621,301G-08   Bemidji Toxics Research Site,342780.28,5271044.25,1.0,-3.41,430.621,0.0,430.621,430.136,430.106,0.03,430.121,0.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x310G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473423095053403,310G-02   Bemidji Toxics Research Site,342603.2,5270956.58,1.0,-200.82,433.682,0.0,433.682,428.199,428.168,0.031,428.184,5.514,,,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,"Upgradient, background (spray zone)",Active,,
x310G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473423095053404,310G-03   Bemidji Toxics Research Site,342603.2,5270956.58,1.0,-200.82,433.682,0.0,433.682,429.198,429.168,0.03,429.183,4.514,,,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,"Upgradient, background (spray zone)",Active,,
x310G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473423095053406,310G-04   Bemidji Toxics Research Site,342603.2,5270956.58,1.0,-200.82,433.682,0.0,433.682,430.198,430.168,0.03,430.183,3.514,,,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,"Upgradient, background (spray zone)",Active,,
x310G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473423095053407,310G-05   Bemidji Toxics Research Site,342603.2,5270956.58,1.0,-200.82,433.682,0.0,433.682,431.198,431.167,0.031,431.182,2.515,,,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,"Upgradient, background (spray zone)",Active,,
x310G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473423095053408,310G-06   Bemidji Toxics Research Site,342603.2,5270956.58,1.0,-200.82,433.682,0.0,433.682,432.198,432.167,0.031,432.182,1.515,,,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,"Upgradient, background (spray zone)",Active,,
x310G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473423095053409,310G-07   Bemidji Toxics Research Site,342603.2,5270956.58,1.0,-200.82,433.682,0.0,433.682,433.197,433.167,0.03,433.182,0.515,,,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,"Upgradient, background (spray zone)",Active,,
x518G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052319,518G-02   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,427.635,427.604,0.031,427.62,5.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x518G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052320,518G-03   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,428.634,428.604,0.03,428.619,4.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x518G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052322,518G-04   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,429.634,429.604,0.03,429.619,3.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x518G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052323,518G-05   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,430.634,430.603,0.031,430.618,2.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x518G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052324,518G-06   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,431.634,431.603,0.031,431.618,1.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x518G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052337,518G-07   Bemidji Toxics Research Site,342840.39,5271059.45,1.0,57.7,433.118,0.0,433.118,432.633,432.603,0.03,432.618,0.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x530G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473427095052210,530G-02   Bemidji Toxics Research Site,342870.99,5271077.16,1.0,92.86,433.291,0.0,433.291,427.808,427.777,0.031,427.792,5.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x530G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473427095052211,530G-03   Bemidji Toxics Research Site,342870.99,5271077.16,1.0,92.86,433.291,0.0,433.291,428.807,428.777,0.03,428.792,4.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x530G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473427095052212,530G-04   Bemidji Toxics Research Site,342870.99,5271077.16,1.0,92.86,433.291,0.0,433.291,429.807,429.777,0.03,429.792,3.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x530G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473427095052213,530G-05   Bemidji Toxics Research Site,342870.99,5271077.16,1.0,92.86,433.291,0.0,433.291,430.807,430.776,0.031,430.792,2.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x530G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473427095052214,530G-06   Bemidji Toxics Research Site,342870.99,5271077.16,1.0,92.86,433.291,0.0,433.291,431.807,431.776,0.031,431.792,1.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x530G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473427095052215,530G-07   Bemidji Toxics Research Site,342870.99,5271077.16,1.0,92.86,433.291,0.0,433.291,432.806,432.776,0.03,432.791,0.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x531G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052325,531G-02   Bemidji Toxics Research Site,342849.7,5271064.85,1.0,68.4,433.014,0.0,433.014,427.531,427.5,0.031,427.516,5.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x531G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052326,531G-03   Bemidji Toxics Research Site,342849.7,5271064.85,1.0,68.4,433.014,0.0,433.014,428.53,428.5,0.03,428.515,4.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
