LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x12LK.W1,Bemidji,wmp,mini-piezometer (shallow temporary well near or in surface-water),x473418095050101,"12LKNW1   147N35W02      01 on S Sh, Unnamed Lk",343295.17,5270807.39,0.0,,,,423.367,,,,,0.6,0.6,,,,,,,20120817.0,,USGS MN Water Science Center,B. Mason,at land/water interface of Unnamed Lake; original field site name::  W,Removed,this was a temporary installation,October 2012
x1302G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052705,1302G-01  Bemidji Toxics Research Site,342761.78,5271035.42,1.0,-23.9,,,430.173,424.94,424.909,0.031,424.924,5.264,7.163,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20130523.0,,USGS MN Water Science Center,J. Greene; A. Berg,Located near well 1202,Active,,
x1402G-01,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052403,1402G-01  Bemidji Toxics Research Site,342812.26,5271046.3,1.0,26.66,,,432.816,425.83,425.8,0.03,425.815,7.016,10.058,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20140514.0,Construction began on 05/14/2014 and finished on 05/15/2014,USGS MN Water Science Center,B. Mason; A. Berg,Located near well 534 nest.,Active,,
x1403,Bemidji,ww,groundwater observation well,x473426095052005,1403      147N35W02CDAD 01              0000786128,342894.56,5271082.72,1.0,116.66,434.234,0.808,433.426,421.182,421.03,0.152,421.106,12.771,12.924,8.9,2.5,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20140722.0,Construction began on 07/21/2014 and finished on 07/22/2014,USGS MN Water Science Center,J. Rauman; B. Mason,Located near 1101 well nest.,Active,,
x1404,Bemidji,ww,groundwater observation well,x473426095052003,1404      147N35W02CDAD 01              0000786126,342895.22,5271081.64,1.0,116.82,434.179,0.753,433.426,424.212,424.059,0.153,424.136,9.741,9.754,8.9,2.5,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20140722.0,,USGS MN Water Science Center,J. Rauman; B. Mason,Located near 1101 well nest.,Active,,
x1405,Bemidji,ww,groundwater observation well,x473426095052006,1405      147N35W02CDAD 01              0000786129,342895.77,5271080.45,1.0,116.84,434.078,0.652,433.426,423.447,423.294,0.153,423.37,10.506,10.516,8.9,2.5,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20140722.0,,USGS MN Water Science Center,J. Rauman; B. Mason,Located near 1101 well nest.,Active,,
x1406,Bemidji,wf,failed well installation (or any installation),,,342896.37,5271079.3,1.0,116.93,,,433.412,,,,,,9.281,,,,,,,20140722,,USGS MN Water Science Center,J. Rauman; B. Mason,Located near 1101 well nest. This was a failed well.,Removed,"failed well, no well installed",
x1412,Bemidji,ww,groundwater observation well,x473426095052004,1412      147N35W02CDAD 01              0000786127,342897.18,5271077.78,1.0,117.05,434.261,0.835,433.426,422.822,422.67,0.152,422.746,11.131,11.582,8.9,2.5,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20140724.0,,USGS MN Water Science Center,J. Rauman; J. Trost,Located near 1101 well nest.,Active,,
x1413,Bemidji,ww,groundwater observation well,x473426095052007,1413      147N35W02CDAD 01              0000786130,342897.76,5271076.69,1.0,117.14,434.194,0.768,433.426,421.972,421.819,0.153,421.896,11.982,12.802,8.9,2.5,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20140724.0,,USGS MN Water Science Center,J. Rauman; J. Trost,Located near 1101 well nest.,Active,,
x1426,Bemidji,ww,groundwater observation well,x473419095052303,1426      147N35W02CDAD 01              0000786135,342816.98,5270846.14,0.0,,427.116,1.006,426.11,424.589,423.129,1.46,423.859,3.097,3.353,21.0,5.0,"Perforated, porous, or slotted casing",0.025,PVC or Plastic,PVC,20141027.0,,USGS MN Water Science Center,B. Mason; A. Berg,Located near 526 well.,Active,,
