Table_Name,Table_Column,Column_Heading,Column_Description,Extended_Description,Unit_Abbreviation,Unit_Definition,Range_Min,Range_Max,Measurement_Method,Definitions_for_No_Data_Values
T4,H,m_Xylene,m-xylene concentration,--,µg/L,microgram per liter,0,1086,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,I,p_Xylene,p-xylene concentration,--,µg/L,microgram per liter,0,332,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,J,o_Xylene,o-xylene concentration,--,µg/L,microgram per liter,0,345,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.5 µg/L) depending on the sample size."
T4,K,1.2.3_TriMeBz,"1,2,3 trimethylbenzene concentration",--,µg/L,microgram per liter,0,300,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,L,1.2.4_TriMeBz,"1,2,4 trimethylbenzene concentration",--,µg/L,microgram per liter,0,528,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,M,1.3.5_TriMeBz,"1,3,5 trimethylbenzene concentration",--,µg/L,microgram per liter,0,112,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,N,Naph,naphthalene concentration,--,µg/L,microgram per liter,0,136,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,O,1_MeNaph,1-methyl naphthalene concentration,--,µg/L,microgram per liter,0,60.0,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,P,2_MeNaph,2-methyl naphthalene concentration,--,µg/L,microgram per liter,0,69.6,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,Q,1.2.3.4_TetraMeBz,"1,2,3,4-tetramethylbenzene concentration",--,µg/L,microgram per liter,0,184,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,R,1.2.3.5_TetraMeBz,"1,2,3,5-tetramethylbenzene concentration",--,µg/L,microgram per liter,0,70.9,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
T4,S,1.2.4.5_TetraMeBz,"1,2,4,5-tetramethylbenzene concentration",--,µg/L,microgram per liter,0,17.2,solid phase microextraction (HS-SPME)/gas chromatography-mass spectrometry (SPME-GC/MS),"values of ""0"" denote concentrations below the detection limit; detection limits varied (0.01-0.05 µg/L) depending on the analyte and sample size."
